,team1,team2,possession_team1,possession team2,number_of_goals_team1,number_of_goals_team2,date,hour,category,total_attempts_team1,total_attempts_team2,conceded_team1,conceded_team2,on_target_attempts_team1,on_target_attempts_team2,off_target_attempts_team1,off_target_attempts_team2,attempted_defensive_line_breaks_team1,attempted_defensive_line_breaks_team2,completed_defensive_line_breaks_team1,completed_defensive_line_breaks_team2,yellow_cards_team1,yellow_cards_team2,red_cards_team1,red_cards_team2,fouls_against_team1,fouls_against_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2
34,WALES,ENGLAND,33%,58%,0,3,2022-11-29,0 days 08:00:00,Group B,7,17,3,0,1,7,3,6,4,13,1,8,2,0,0,0,16,9,1,1,325,588,261,529,1,6,10,17,0,0,17,8,0,0
35,IRAN,UNITED STATES,42%,45%,0,1,2022-11-29,0 days 08:00:00,Group B,6,12,1,0,2,5,4,4,23,27,8,16,3,1,0,0,13,10,2,1,463,470,379,413,1,5,11,15,0,0,13,6,0,0
36,AUSTRALIA,DENMARK,24%,60%,1,0,2022-11-30,0 days 04:00:00,Group D,8,14,0,1,4,3,2,7,17,21,7,17,2,1,0,0,11,10,1,3,286,650,187,567,2,6,13,12,0,0,14,8,0,0
37,TUNISIA,FRANCE,30%,56%,1,0,2022-11-30,0 days 04:00:00,Group D,5,9,0,1,3,3,2,4,21,10,7,4,1,0,0,0,14,6,3,2,328,636,266,566,7,8,8,17,0,0,11,6,0,0
38,POLAND,ARGENTINA,24%,67%,0,2,2022-11-30,0 days 08:00:00,Group C,4,25,2,0,0,13,2,8,5,25,1,19,1,1,0,0,6,11,0,0,321,862,261,814,1,9,12,5,0,0,25,4,0,0
39,SAUDI ARABIA,MEXICO,29%,55%,1,2,2022-11-30,0 days 08:00:00,Group C,10,25,2,1,2,10,8,8,17,33,5,16,6,1,0,0,20,18,2,6,297,412,197,336,1,8,23,22,0,0,26,10,0,0
40,CROATIA,BELGIUM,43%,47%,0,0,2022-12-01,0 days 04:00:00,Group F,11,15,0,0,4,4,5,7,23,26,17,14,0,1,0,0,7,9,4,0,578,596,504,531,2,4,9,11,0,0,16,11,0,0
41,CANADA,MOROCCO,52%,36%,1,2,2022-12-01,0 days 04:00:00,Group F,5,7,2,1,0,2,4,2,21,16,8,7,4,0,0,0,14,14,4,4,539,384,472,308,6,2,18,18,0,0,7,7,0,1
42,JAPAN,SPAIN,14%,78%,2,1,2022-12-01,0 days 08:00:00,Group E,6,14,1,2,3,5,2,3,14,21,8,15,3,0,0,0,9,6,2,2,225,1070,167,992,0,2,8,11,0,0,14,6,0,0
43,COSTA RICA,GERMANY,27%,60%,2,4,2022-12-01,0 days 08:00:00,Group E,8,32,4,2,6,11,1,17,13,34,7,25,1,0,0,0,3,9,4,3,347,727,269,661,1,14,12,7,0,0,32,8,0,0
